plant,success,duration_s,error_m,error_x,error_y,experiment_type,imu_enabled,param_n,predetermined_list,is_realtime_target,realtime_trigger_id
1,1,2.897,0.187,-0.133,0.132,2,1,-1,"",0,-1
3,1,16.701,0.134,-0.097,0.093,2,1,-1,"",0,-1
5,1,8.541,0.195,-0.182,0.071,2,1,-1,"",0,-1
9,1,14.901,0.092,0.029,0.087,2,1,-1,"",0,-1
7,1,5.301,0.207,0.128,0.162,2,1,-1,"",0,-1
11,1,112.571,0.106,-0.021,0.104,2,1,-1,"",0,-1
13,1,5.761,0.189,-0.114,0.151,2,1,-1,"",0,-1
15,1,5.831,0.192,-0.129,0.143,2,1,-1,"",0,-1
