plant,success,duration_s,error_m,error_x,error_y,experiment_type,imu_enabled,param_n,predetermined_list,is_realtime_target,realtime_trigger_id
1,1,3.867,0.152,-0.133,0.072,2,1,-1,"",0,-1
3,1,115.551,0.142,-0.010,0.142,2,1,-1,"",0,-1
5,1,6.541,0.195,-0.182,0.072,2,1,-1,"",0,-1
9,1,12.941,0.136,0.079,0.110,2,1,-1,"",0,-1
7,1,5.571,0.202,0.161,0.123,2,1,-1,"",0,-1
11,1,95.051,0.121,-0.006,0.120,2,1,-1,"",0,-1
13,1,5.111,0.191,-0.139,0.132,2,1,-1,"",0,-1
15,1,5.701,0.191,-0.119,0.149,2,1,-1,"",0,-1
